"movie","chapter","character","dialog"
"Harry Potter and the Order of the Phoenix","","Witch","Department of Mysteries."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Department of Mysteries?"
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Yep, I've got no idea what they get up to in here, it's top secret."
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Come on, Harry!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","I've been there before..."
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","Now, Harry, I find that highly unlikely..."
"Harry Potter and the Order of the Phoenix","","Arthur Weasley","There you are, Harry, in you go...good luck..."
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","You're late."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Er...sorry."
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","No matter, the accused will take his seat."
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","Very well, we are ready to begin."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Witness for the Defence, Albus Percival Wulfric Brian Dumbledore."
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","Ah...you...er...got our message that the time had changed, did you?"
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","Well. The...ah...charges."
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","The charges against the accused shall now be read into the record: That the accused did with deliberation and fore-knowledge of the illegality of his actions, produce a patronus charm in full sight of a Muggle."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yes."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yes, but-"
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","Within full sight of a Muggle?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yes, but-"
"Harry Potter and the Order of the Phoenix","","Susan Bones","You produced a Patronus? A fully- formed Patronus, with a clearly- defined shape?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yes."
"Harry Potter and the Order of the Phoenix","","Susan Bones","That is most remarkable, Mr. Potter."
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","It doesn't matter how impressive it was!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","But I did it because of the Dementors!"
"Harry Potter and the Order of the Phoenix","","Susan Bones","What do you mean?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","My cousin and I were attacked by Dementors. That's why I had to use the Patronus, to drive them away."
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","Ah, yes, yes, another cock-and-bull story."
"Harry Potter and the Order of the Phoenix","","Susan Bones","Dementors in Little Whinging?"
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","Oh, come now, Susan. He's clearly lying."
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","We haven't got time to-"
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","Very well. Weasley, fetch the witness."
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","Full name?"
"Harry Potter and the Order of the Phoenix","","Arabella Figg","Arabella Doreen Figg, resident of Little Whinging."
"Harry Potter and the Order of the Phoenix","","Cornelius Fudge","So...what is your story?"
"Harry Potter and the Order of the Phoenix","","Arabella Figg","I was sitting on my porch when I saw the two Dementors gliding towards the two boys."
"Harry Potter and the Order of the Phoenix","","Susan Bones","What did the Dementors look like?"
"Harry Potter and the Order of the Phoenix","","Arabella Figg","Well, they were big and wore great, tattered cloaks."
